age,Other,Savings,Diamond Bank,EcoBank,FCMB,Fidelity Bank,First Bank,GT Bank,Heritage Bank,Keystone Bank,Skye Bank,Stanbic IBTC,Standard Chartered,Sterling Bank,UBA,Union Bank,Unity Bank,Wema Bank,Zenith Bank,Not known,Permanent,Retired,Self-Employed,Student,Unemployed,loanamount,totaldue,termdays,totalamountreturn,interestrate,loannumberprevious,loanamountprevious,totaldueprevious,termdaysprevious,datediffsecondsprevious,Cluster
33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,2.0,100000000.0,125000000.0,25.0,3608.6666666666665,0
42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3608.0,1
27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,130000000.0,30.0,3611.0,0
47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3615.0,1
33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300000000,345000000.0,30,45000000.0,13.043478260869565,4.5,175000000.0,209750000.0,31.875,3608.0,1
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.0,100000000.0,130000000.0,30.0,3632.0,1
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,1.5,100000000.0,130000000.0,30.0,3607.5,1
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3609.0,1
38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3609.0,1
38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3612.5,1
32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400000000,440000000.0,30,40000000.0,9.090909090909092,5.5,220000000.0,249900000.0,24.0,3608.1,1
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,2.0,100000000.0,115000000.0,15.0,3862.0,0
36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3639.5,1
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.5,100000000.0,126250000.0,26.25,3607.75,1
34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,2.0,100000000.0,130000000.0,30.0,3608.0,1
29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400000000,480000000.0,60,80000000.0,16.666666666666664,6.5,185833333.3333333,217406250.0,27.5,3617.0,3
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,2.5,100000000.0,115000000.0,15.0,3607.5,0
56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,30,15000000.0,13.043478260869565,3.5,100000000.0,128125000.0,30.0,3608.25,1
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3637.5,1
39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.0,100000000.0,130000000.0,30.0,3610.6666666666665,1
37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3628.0,1
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.0,100000000.0,115000000.0,15.0,3614.6666666666665,1
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.5,125000000.0,158750000.0,30.0,3608.0,1
35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,2.0,100000000.0,115000000.0,15.0,3609.6666666666665,1
36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100000000,130000000.0,30,30000000.0,23.07692307692308,2.5,100000000.0,130000000.0,30.0,3609.75,1
37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,130000000.0,30.0,3613.0,0
35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30000,34500.0,30,4500.0,13.043478260869565,3.5,183333333.3333333,221000000.0,30.0,3619.1666666666665,1
34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,3.0,140000000.0,170000000.0,24.0,3607.2,1
31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3668.0,0
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,115000000.0,15.0,3668.0,1
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,130000000.0,30.0,3611.0,0
31,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,12250.0,30,2250.0,18.367346938775512,2.5,100000000.0,125312500.0,26.25,3623.25,1
49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.0,100000000.0,125000000.0,25.0,3629.3333333333335,1
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,222500000.0,15,22500000.0,10.112359550561797,3.0,140000000.0,165600000.0,21.0,3621.2,0
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3610.0,1
39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,122500000.0,22.5,3609.0,1
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3610.0,1
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150000000,183750000.0,30,33750000.0,18.367346938775512,3.5,100000000.0,127500000.0,27.5,3607.1666666666665,1
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40000,48000.0,60,8000.0,16.666666666666664,4.5,225000000.0,274250000.0,41.25,3610.25,3
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,150000000,161250000.0,15,11250000.0,6.976744186046512,5.0,122222222.22222222,149444444.44444445,30.0,3616.222222222222,0
29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300000000,390000000.0,60,90000000.0,23.07692307692308,2.0,300000000.0,390000000.0,60.0,3669.0,3
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,12250.0,30,2250.0,18.367346938775512,2.5,125000000.0,153125000.0,26.25,3612.25,1
40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3669.0,1
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.5,100000000.0,115000000.0,15.0,3612.0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300000000,345000000.0,30,45000000.0,13.043478260869565,4.0,142857142.85714287,177285714.2857143,30.0,3610.714285714286,1
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3613.0,0
36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.5,125000000.0,151250000.0,22.5,3610.75,1
42,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,122500000.0,22.5,3637.0,1
44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,230000000.0,30,30000000.0,13.043478260869565,5.0,177777777.7777778,214555555.55555555,31.666666666666668,5698.777777777777,4
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3668.0,0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3667.0,1
33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3637.5,1
37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,3.0,140000000.0,176000000.0,30.0,3607.4,1
45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.5,125000000.0,158750000.0,30.0,3607.0,1
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,2.5,95000000.0,116000000.0,22.5,3609.25,0
41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400000000,440000000.0,30,40000000.0,9.090909090909092,7.5,242857142.85714287,284428571.4285714,32.142857142857146,3609.714285714286,1
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,30000,34500.0,30,4500.0,13.043478260869565,4.5,162500000.0,186500000.0,20.625,3616.875,1
33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000,11500.0,15,1500.0,13.043478260869565,1.5,100000000.0,122500000.0,22.5,3611.5,0
28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,115000000.0,30,15000000.0,13.043478260869565,3.5,100000000.0,128416666.66666669,30.0,3610.0,1
41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300000000,390000000.0,60,90000000.0,23.07692307692308,3.5,183333333.3333333,213333333.3333333,22.5,3619.3333333333335,3
37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500000000,525000000.0,30,25000000.0,4.761904761904762,11.0,304761904.7619048,338797619.04761904,25.0,3611.571428571429,1
27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100000000,122500000.0,30,22500000.0,18.367346938775512,2.5,112500000.0,143437500.0,30.0,3622.0,1
34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,2.5,100000000.0,130000000.0,30.0,3608.0,1
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,115000000.0,15.0,3608.0,1
41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3609.0,1
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3671.0,1
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3673.0,0
54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300000000,345000000.0,30,45000000.0,13.043478260869565,3.5,116666666.66666669,140958333.33333334,25.0,3612.8333333333335,1
44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3668.0,1
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.0,100000000.0,130000000.0,30.0,3667.0,1
36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300000000,345000000.0,30,45000000.0,13.043478260869565,3.0,200000000.0,231500000.0,24.0,3609.0,1
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,107500000.0,15,7500000.0,6.976744186046512,3.5,116666666.66666669,131666666.66666669,15.0,3626.5,0
39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3637.5,1
46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.0,100000000.0,115000000.0,15.0,3611.0,1
36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,11500.0,15,1500.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3616.0,0
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200000000,245000000.0,30,45000000.0,18.367346938775512,2.5,125000000.0,158750000.0,30.0,3621.75,1
41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,115000000.0,15,15000000.0,13.043478260869565,1.0,100000000.0,115000000.0,15.0,3613.0,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100000000,130000000.0,30,30000000.0,23.07692307692308,4.0,100000000.0,127857142.85714284,27.857142857142858,3619.285714285714,1
41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,13000.0,30,3000.0,23.07692307692308,1.5,100000000.0,130000000.0,30.0,3638.0,1
